,comment_id,user_id,platform,date_time,likes_count,comment_raw,comment_cleaned_emoji,comment_cleaned_no_emoji,comment_processed,vader_compound_emoji,vader_compound_no_emoji
1384,17892325207866552,14291316271,instagram,2021-02-10 05:17:12,6,"@thebidenera Agreed 👍 I'm watching the impeachment trial right now, and I fell asleep when Trump's ""lawyers"" took the stand."," Agreed 👍 I'm watching the impeachment trial right now, and I fell asleep when Trump's ""lawyers"" took the stand."," Agreed  I'm watching the impeachment trial right now, and I fell asleep when Trump's ""lawyers"" took the stand.","['agreed', 'watching', 'trial', 'right', 'fell', 'asleep', 'lawyers', 'took', 'stand']",0.2732,0.2732
1385,17886926410996450,40402048522,instagram,2021-02-10 05:16:22,2,He'll stiff them like Rudy😂,He'll stiff them like Rudy😂,He'll stiff them like Rudy,"['stiff', 'like']",0.6597,0.3612
1386,17905640014684768,2072509862,instagram,2021-02-10 05:15:04,3,😂😂😂🤮🤢🤢🤮😂😂,😂😂😂🤮🤢🤢🤮😂😂,🤮🤢🤢🤮,[],0.926,0.0
1387,17894862946876970,5515162614,instagram,2021-02-10 13:38:16,1,🤡💩,🤡💩,🤡,[],0.0,0.0
1388,17861034536355482,44775352043,instagram,2021-02-10 09:28:11,1,Mobility aids are great and not humorous 🤷‍♀️,Mobility aids are great and not humorous 🤷‍♀️,Mobility aids are great and not humorous 🤷‍,"['mobility', 'aids', 'great', 'humorous']",0.4434,0.4434
1389,17861787293359793,6308365866,instagram,2021-02-18 04:43:03,0,Umm... He was ALREADY impeached BEFORE leaving office. A *bipartisan* vote determined it was *Constitutional* to proceed.,Umm... He was ALREADY impeached BEFORE leaving office. A *bipartisan* vote determined it was *Constitutional* to proceed.,Umm... He was ALREADY impeached BEFORE leaving office. A *bipartisan* vote determined it was *Constitutional* to proceed.,"['umm', 'already', 'impeached', 'leaving', 'office', 'bipartisan', 'vote', 'determined', 'constitutional', 'proceed']",0.34,0.34
1390,18057072637274279,6775220374,instagram,2021-02-10 06:33:48,4,So if I rob and bank and get away I can't be arrested later then🤔😅,So if I rob and bank and get away I can't be arrested later then🤔😅,So if I rob and bank and get away I can't be arrested later then🤔,"['rob', 'bank', 'away', 'ca', 'arrested', 'later']",0.0491,-0.3203
1391,18057065233272038,39226676420,instagram,2021-02-10 05:33:02,0,"The most important key to successful leadership is your ability to direct and challenge the very best that is in those whom lead you, thanks a lot Mai @therealforexmillionaire","The most important key to successful leadership is your ability to direct and challenge the very best that is in those whom lead you, thanks a lot Mai ","The most important key to successful leadership is your ability to direct and challenge the very best that is in those whom lead you, thanks a lot Mai ","['important', 'key', 'successful', 'leadership', 'ability', 'direct', 'challenge', 'best', 'lead', 'thanks', 'lot', 'mai']",0.9421,0.9421
1392,17932320355478982,5358005689,instagram,2021-02-11 01:00:53,0,👏,👏,,[],0.0,0.0
1393,17933035327473532,204200403,instagram,2021-02-10 14:37:36,0,💯,💯,,[],0.0,0.0
1394,17876185322174228,50374532,instagram,2021-02-10 07:09:23,0,That’s part,That’s part,That’s part,['part'],0.0,0.0
1395,17857879127489957,319180177,instagram,2021-02-10 06:04:17,0,I’m not holding my breath. Our government sucks this Country is fucked,I’m not holding my breath. Our government sucks this Country is fucked,I’m not holding my breath. Our government sucks this Country is fucked,"['holding', 'breath', 'government', 'sucks', 'country', 'fucked']",-0.7845,-0.7845
1396,17859655928483801,9232917122,instagram,2021-02-11 03:12:17,0,"😂Looking good Jimmy, stay hydrated!","😂Looking good Jimmy, stay hydrated!","Looking good Jimmy, stay hydrated!","['good', 'jimmy', 'stay', 'hydrated']",0.3164,0.4926
