,comment_id,user_id,platform,date_time,likes_count,comment,comment_no_emoji,comment_processed
126,17884596362031663,309054301,instagram,2021-02-11 05:53:47,4,"Biden sucks. Harris sucks. Commies suck. If you voted ""blue no matter who"" you suck too. Don't vote for socialism and complain that you and your kids are broke and starving. 😘","Biden sucks. Harris sucks. Commies suck. If you voted ""blue no matter who"" you suck too. Don't vote for socialism and complain that you and your kids are broke and starving. ","['biden', 'sucks', 'harris', 'sucks', 'commies', 'suck', 'voted', 'blue', 'matter', 'suck', 'vote', 'socialism', 'complain', 'kids', 'broke', 'starving']"
127,17881352396101360,5487608387,instagram,2021-02-11 05:51:58,1,LOL I love the arguments between Americans in this comment section. I saw both Trump and Biden as horrible leaders. But the more horrible they are the better it is. Why? Unstable USA means their economy became unstable as well and investors will left for other countries to invest their money and my country will benefit greatly from influx of new investors coming. Already happened in 2008 after housing crash in USA. Now hoping that that senile moron continue this downward trend 😆💲💲💲😆,LOL I love the arguments between Americans in this comment section. I saw both Trump and Biden as horrible leaders. But the more horrible they are the better it is. Why? Unstable USA means their economy became unstable as well and investors will left for other countries to invest their money and my country will benefit greatly from influx of new investors coming. Already happened in 2008 after housing crash in USA. Now hoping that that senile moron continue this downward trend ,"['lol', 'love', 'arguments', 'americans', 'comment', 'section', 'saw', 'biden', 'horrible', 'leaders', 'horrible', 'better', 'unstable', 'usa', 'means', 'economy', 'became', 'unstable', 'well', 'investors', 'left', 'countries', 'invest', 'money', 'country', 'benefit', 'greatly', 'influx', 'new', 'investors', 'coming', 'already', 'happened', 'housing', 'crash', 'usa', 'hoping', 'senile', 'moron', 'continue', 'downward', 'trend']"
128,17904182257693167,4244073121,instagram,2021-02-11 05:15:47,0,My balls itch,My balls itch,"['balls', 'itch']"
129,17925113716516924,1312929550,instagram,2021-02-11 04:50:53,1,"Yes! Let's enjoy the boring! So nice not to worry about WW3 every other day cause the baby lost his bottle or someone was ""mean"" to him.","Yes! Let's enjoy the boring! So nice not to worry about WW3 every other day cause the baby lost his bottle or someone was ""mean"" to him.","['yes', 'let', 'enjoy', 'boring', 'nice', 'worry', 'every', 'day', 'cause', 'baby', 'lost', 'bottle', 'someone', 'mean']"
130,17883664400064034,8397774915,instagram,2021-02-11 04:44:57,0,Based,Based,['based']
131,17910726769621513,8745600099,instagram,2021-02-11 04:40:49,16,Thanks for voting my insulin cost back up 🙌❤️,Thanks for voting my insulin cost back up ,"['thanks', 'voting', 'insulin', 'cost', 'back']"
132,17940648262446487,191418963,instagram,2021-02-11 04:40:20,0,Fuck the other guy,Fuck the other guy,"['fuck', 'guy']"
133,17997581584309600,1067055063,instagram,2021-02-11 04:40:11,5,Lol this dude just wants to write a funny comic and make yall laugh but you wrote a whole paragraph instead,Lol this dude just wants to write a funny comic and make yall laugh but you wrote a whole paragraph instead,"['lol', 'dude', 'wants', 'write', 'funny', 'comic', 'make', 'yall', 'laugh', 'wrote', 'whole', 'paragraph', 'instead']"
134,17886889954993146,18399102807,instagram,2021-02-11 04:22:35,0,LOL,LOL,['lol']
135,17871188504198773,1403480905,instagram,2021-02-11 04:13:21,46,This cartoonist isn't a political expert with an enlightened perspective! I'm shocked and appalled!!!,This cartoonist isn't a political expert with an enlightened perspective! I'm shocked and appalled!!!,"['cartoonist', 'political', 'expert', 'enlightened', 'perspective', 'shocked', 'appalled']"
